timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm]
1054049628,382941983,414914021.0,4618.32,5.16,2.3999999999999773,129.0
1054049631,382943912,414913864.0,4636.22,5.188,2.0,131.0
1054049633,382945004,414913893.0,4646.36,5.188,1.6000000000000227,132.0
1054049636,382946552,414914039.0,4660.77,4.787,1.1999999999999886,133.0
1054049638,382947442,414914285.0,4669.27,4.759,0.6000000000000227,134.0
1054049639,382948004,414914470.0,4674.68,4.74,0.3999999999999772,134.0
1054049644,382949906,414915258.0,4693.46,3.424,0.0,137.0
1054049645,382950262,414915466.0,4697.16,3.443,0.0,138.0
1054049652,382952889,414916704.0,4723.45,3.611,0.1999999999999886,136.0
1054049656,382954326,414917424.0,4737.96,3.63,0.0,133.0
1054049659,382955418,414917443.0,4748.19,3.536,-0.1999999999999886,131.0
1054049660,382955703,414917233.0,4751.28,3.527,-0.3999999999999772,131.0
1054049663,382956155,414916487.0,4758.5,2.071,-0.1999999999999886,131.0
1054049669,382956387,414915275.0,4768.3,1.698,1.0,131.0
1054049674,382956826,414913538.0,4782.72,2.995,2.1999999999999886,132.0
1054049680,382957587,414911625.0,4799.43,2.706,3.1999999999999886,131.0
1054049687,382958625,414909263.0,4821.21,3.051,2.0,130.0
1054049689,382959463,414909464.0,4829.23,3.695,1.3999999999999773,132.0
1054049690,382959803,414909757.0,4833.14,3.928,1.1999999999999886,134.0
1054049693,382961002,414910582.0,4846.06,4.423,0.3999999999999772,137.0
1054049696,382962276,414911057.0,4858.48,4.32,0.0,136.0
1054049701,382964672,414911692.0,4881.32,4.432,-0.6000000000000227,133.0
1054049706,382967126,414912343.0,4904.7,4.507,-1.1999999999999886,132.0
1054049712,382970146,414912953.0,4933.25,4.619,-1.6000000000000227,133.0
1054049714,382971110,414912586.0,4942.68,4.619,-1.8000000000000114,133.0
1054049716,382971748,414911929.0,4950.57,4.609,-1.8000000000000114,131.0
1054049719,382972774,414910524.0,4965.2,4.516,-1.8000000000000114,132.0
1054049720,382973097,414910140.0,4969.47,4.516,-1.6000000000000227,131.0
1054049722,382973915,414909435.0,4978.9,4.516,-1.3999999999999773,130.0
1054049724,382974777,414908921.0,4987.88,4.479,-1.1999999999999886,129.0
1054049735,382979517,414906135.0,5037.15,4.469,-0.3999999999999772,130.0
1054049740,382981684,414904931.0,5059.42,4.451,0.0,131.0
1054049747,382984097,414902610.0,5088.91,4.255,0.8000000000000114,131.0
1054049754,382986195,414899551.0,5120.44,4.32,0.3999999999999772,131.0
1054049760,382987966,414897411.0,5144.48,3.602,0.3999999999999772,132.0
1054049765,382987940,414895263.0,5161.77,3.546,0.6000000000000227,130.0
1054049771,382986532,414892784.0,5185.38,3.648,1.0,129.0
1054049777,382985216,414890356.0,5208.47,3.872,1.0,127.0
1054049779,382984680,414889705.0,5215.59,3.872,1.1999999999999886,124.0
1054049781,382984120,414888932.0,5223.61,3.872,1.3999999999999773,121.0
1054049784,382983086,414887755.0,5236.97,3.872,2.0,120.0
1054049788,382981603,414886261.0,5255.13,4.413,2.6000000000000227,117.0
1054049791,382980495,414885284.0,5268.01,4.413,2.800000000000012,120.0
1054049792,382980190,414884940.0,5271.92,4.413,2.800000000000012,120.0
1054049797,382979226,414883203.0,5288.33,3.116,3.0,121.0
1054049801,382978008,414882211.0,5302.45,3.378,2.6000000000000227,120.0
1054049807,382975779,414881198.0,5324.66,3.508,2.1999999999999886,120.0
1054049815,382973375,414880114.0,5348.59,3.07,2.800000000000012,119.0
1054049822,382971115,414879070.0,5371.12,3.088,1.6000000000000227,116.0
1054049829,382969052,414878494.0,5390.89,2.874,0.3999999999999772,114.0
1054049837,382966578,414877928.0,5414.32,2.715,0.8000000000000114,114.0
1054049840,382965613,414877927.0,5423.26,2.715,1.0,110.0
1054049843,382964428,414877799.0,5434.31,3.695,1.1999999999999886,107.0
1054049851,382961274,414877207.0,5463.99,3.695,0.8000000000000114,106.0
1054049855,382959764,414876788.0,5478.4,3.555,-0.1999999999999886,109.0
1054049857,382958929,414876290.0,5487.1,4.292,-0.8000000000000114,111.0
1054049860,382957673,414875606.0,5499.95,4.05,-1.1999999999999886,114.0
1054049866,382955203,414874268.0,5525.23,4.171,0.6000000000000227,116.0
1054049871,382953148,414873276.0,5545.86,4.161,2.0,119.0
1054049873,382952378,414872957.0,5553.46,4.05,2.3999999999999773,122.0
1054049874,382951951,414872840.0,5557.53,4.161,2.3999999999999773,122.0
1054049880,382949247,414871845.0,5583.83,4.236,2.800000000000012,121.0
1054049887,382945907,414870646.0,5616.31,4.703,3.8000000000000114,122.0
1054049891,382943754,414870020.0,5636.92,4.712,4.199999999999989,123.0
1054049894,382942214,414869885.0,5651.27,4.777,4.199999999999989,123.0
1054049895,382941734,414869774.0,5655.81,4.759,4.199999999999989,123.0
1054049902,382938344,414868966.0,5688.0,4.647,4.199999999999989,123.0
1054049903,382937834,414868970.0,5692.73,4.647,4.199999999999989,122.0
1054049904,382937329,414868906.0,5697.4,4.647,4.199999999999989,122.0
1054049908,382935237,414868297.0,5717.43,4.796,4.0,121.0
