timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],cycle_length16 [m],heart_rate [bpm],cadence [rpm],fractional_cadence [rpm]
1049872849,382570055,414723837.0,2402.51,3.051,16.799999999999955,0.0,167.0,82.0,0.5
1049872856,382571161,414726258.0,2424.27,3.051,16.799999999999955,0.0,169.0,82.0,0.5
1049872858,382571456,414726940.0,2430.32,3.051,16.600000000000023,0.0,172.0,81.0,0.5
1049872865,382572452,414729353.0,2451.54,3.051,16.399999999999977,0.0,174.0,82.0,0.5
1049872866,382572604,414729704.0,2454.65,3.051,16.600000000000023,105.0,175.0,82.0,0.5
1049872873,382573679,414732140.0,2476.39,3.051,16.799999999999955,0.0,174.0,82.0,0.5
1049872874,382573864,414732477.0,2479.57,3.051,16.799999999999955,0.0,174.0,81.0,0.5
1049872881,382575560,414733893.0,2499.91,3.032,17.0,0.0,173.0,83.0,0.5
1049872888,382577894,414734474.0,2522.08,3.014,17.600000000000023,0.0,171.0,82.0,0.5
1049872892,382579152,414734773.0,2534.01,3.023,18.0,0.0,170.0,81.0,0.5
1049872899,382581329,414735271.0,2554.63,3.014,18.600000000000023,0.0,168.0,82.0,0.5
1049872902,382582352,414735451.0,2564.25,3.014,18.200000000000045,0.0,165.0,82.0,0.5
1049872909,382584430,414736162.0,2584.38,3.004,17.200000000000045,0.0,164.0,82.0,0.5
1049872910,382584738,414736304.0,2587.45,3.004,17.0,0.0,164.0,82.0,0.5
1049872917,382586936,414737115.0,2608.91,2.986,16.799999999999955,0.0,163.0,81.0,0.5
1049872918,382587148,414737236.0,2611.09,2.986,17.0,0.0,163.0,82.0,0.5
1049872925,382589320,414738333.0,2633.11,2.995,17.799999999999955,0.0,163.0,82.0,0.5
1049872926,382589698,414738474.0,2636.79,2.995,17.799999999999955,0.0,163.0,83.0,0.5
1049872934,382592070,414738836.0,2659.0,3.004,18.0,0.0,163.0,83.0,0.5
1049872940,382593822,414739437.0,2675.95,2.995,19.0,0.0,163.0,82.0,0.5
1049872947,382596209,414739778.0,2698.18,2.995,21.0,0.0,165.0,81.0,0.5
1049872952,382597669,414740180.0,2712.2,2.986,20.799999999999955,0.0,167.0,82.0,0.5
1049872959,382599755,414740978.0,2732.56,2.967,19.200000000000045,0.0,166.0,82.0,0.5
1049872963,382600992,414741581.0,2745.01,2.958,18.399999999999977,0.0,165.0,82.0,0.5
1049872970,382603163,414742382.0,2766.19,2.967,18.200000000000045,0.0,166.0,81.0,0.5
1049872972,382603819,414742522.0,2772.38,2.967,18.0,0.0,167.0,81.0,0.5
1049872979,382606014,414743417.0,2794.01,2.976,18.799999999999955,0.0,168.0,82.0,0.5
1049872982,382606934,414743797.0,2803.07,2.976,19.200000000000045,0.0,168.0,82.0,0.5
1049872989,382609183,414744906.0,2825.81,2.986,19.0,0.0,167.0,82.0,0.5
1049872991,382609702,414745086.0,2830.84,2.986,18.799999999999955,0.0,167.0,83.0,0.5
1049872998,382611898,414745994.0,2852.49,2.995,21.0,0.0,168.0,82.0,0.5
1049872999,382612199,414746073.0,2855.3,2.995,21.399999999999977,0.0,169.0,82.0,0.5
1049873004,382614126,414746722.0,2873.89,3.004,22.399999999999977,0.0,172.0,82.0,0.5
1049873006,382614838,414746980.0,2880.79,3.004,21.799999999999955,0.0,172.0,83.0,0.5
1049873013,382617132,414747785.0,2903.06,3.098,16.799999999999955,0.0,173.0,83.0,0.5
1049873014,382617431,414747959.0,2906.15,3.107,16.200000000000045,0.0,173.0,83.0,0.5
1049873021,382619621,414748751.0,2927.51,3.098,13.799999999999956,0.0,173.0,82.0,0.5
1049873022,382620032,414748792.0,2931.32,3.088,13.600000000000025,0.0,173.0,83.0,0.5
1049873029,382622237,414749248.0,2952.06,3.098,12.600000000000025,0.0,173.0,81.0,0.5
1049873033,382623453,414749753.0,2964.06,3.079,12.799999999999956,0.0,171.0,82.0,0.5
